image,mean_gap,var_gap,group
6364.pgm,2.169375,10.757187,A
9467.pgm,1.888625,1.399971,A
3929.pgm,1.993500,10.034208,A
9259.pgm,1.960250,1.737170,A
5824.pgm,1.997125,1.906617,A
8801.pgm,2.032875,2.589044,A
69.pgm,1.979000,1.652809,A
2072.pgm,2.006000,10.412964,A
9465.pgm,1.990000,5.201900,A
3548.pgm,1.948750,1.997623,A
55.pgm,9.445625,5139.511293,C
3244.pgm,2.937375,318.409203,B
9271.pgm,1.932000,1.701626,A
4899.pgm,1.946500,1.694888,A
4347.pgm,1.919125,3.776834,A
2068.pgm,2.052875,5.846329,A
4575.pgm,1.915375,1.485464,A
9260.pgm,2.009375,2.758537,A
6887.pgm,28.853000,26576.769891,C
9697.pgm,1.930500,1.631920,A
2857.pgm,5.420375,2391.456910,C
960.pgm,1.923375,1.529254,A
5314.pgm,1.944250,1.646142,A
5894.pgm,1.918375,1.618712,A
9038.pgm,1.984875,1.882396,A
3531.pgm,1.967625,4.507077,A
8406.pgm,1.827875,1.232748,A
1685.pgm,2.072250,2.328530,A
7232.pgm,2.276875,3.322965,A
5240.pgm,1.904625,1.450279,A
6138.pgm,72.378000,98608.259866,C
8267.pgm,1.965000,1.702525,A
2104.pgm,2.314250,147.881497,A
8636.pgm,1.891875,1.437434,A
4497.pgm,14.723000,7214.411771,C
3707.pgm,30.873875,33746.734967,C
1590.pgm,147.752625,302909.452181,C
5683.pgm,2.030000,2.103850,A
9187.pgm,1.841250,1.272798,A
374.pgm,1.814375,1.152668,A
4231.pgm,2.003625,11.858112,A
5006.pgm,2.211375,5.282946,A
838.pgm,1.895875,1.451283,A
3232.pgm,2.021125,16.724679,A
5530.pgm,2.003125,2.419365,A
5367.pgm,28.562125,50873.886890,C
5085.pgm,1.955750,1.576542,A
6981.pgm,2.409375,94.310537,A
2553.pgm,5.985375,2253.696411,C
6465.pgm,1.963375,1.680784,A
3665.pgm,1.937250,1.695562,A
4742.pgm,2.043500,16.816358,A
4409.pgm,2.011250,8.912373,A
4248.pgm,1.877625,1.416649,A
3365.pgm,1.921500,1.535338,A
2238.pgm,1.906125,2.402312,A
5876.pgm,1.950000,1.598250,A
7475.pgm,1.831750,1.206692,A
8329.pgm,1.907750,1.524240,A
8344.pgm,1.921250,2.096798,A
4740.pgm,2.018750,1.900648,A
1389.pgm,1.944875,1.646086,A
5135.pgm,1.939250,1.556559,A
2987.pgm,2.739125,146.351069,B
1017.pgm,2.038125,2.095921,A
4652.pgm,2.061250,4.116498,A
16.pgm,1.834125,1.168610,A
5752.pgm,2.111500,3.989318,A
7097.pgm,1.972625,1.787376,A
5256.pgm,2.245125,15.561039,A
798.pgm,1.996375,2.756112,A
3090.pgm,1.995750,7.047482,A
